M3 Nv,M3 Ne,G3 Nv,G3 Ne,Laplacian Determinant,Zero Eigenvalue Multiplicity,n - rank(Lap),M1 Edge,M2 Edge,M1 Vertex,M2 Vertex,Incidence Matrix Row Sum,Incidence Matrix Column Sum,Laplacian Matrix Row Sum,Laplacian Matrix Column Sum,Laplacian Eigenvalue 1,Laplacian Eigenvalue 2,Laplacian Eigenvalue 3,Laplacian Eigenvalue 4,Laplacian Eigenvalue 5,Laplacian Eigenvalue 6,Laplacian Eigenvalue 7,Laplacian Eigenvalue 8
8,10,7,8,8.00000000000001,0,0,1,1,1,7,0,0,2,2,0.0556660298444434,0.828405426951976,1,1.20628578016033,2,2.8494804494131,4.77264316581416,5.28751914781599
8,10,8,9,8,0,0,1,1,1,8,-1,-1,5,5,0.0514124272090945,0.479738851211507,1.07381357434656,1.64868763798374,2,3.50281654156795,4.83779910372491,5.40573186395624
8,10,7,5,8,0,0,1,1,6,7,5,5,9,9,0.198062264195162,0.527166091004744,1,1.53740157702523,1.55495813208737,2,3.24697960371747,4.93543233197003
8,10,8,6,8,0,0,1,1,6,8,4,4,4,4,0.139194146888296,0.527166091004744,1,1.53740157702523,1.74589831163495,2,4.11490754147676,4.93543233197003
8,10,8,9,8.00000000000001,0,0,1,2,1,8,-1,-1,1,1,0.0544674514792002,0.473529618690866,1,1.62569033135727,2,3.76249890566055,4.78511253892052,5.29870115389159
8,10,8,9,8.00000000000001,0,0,1,2,1,9,-3,-3,5,5,0.0544674514792002,0.473529618690866,1,1.62569033135727,2,3.76249890566055,4.78511253892052,5.29870115389159
8,10,8,6,8,0,0,1,2,6,8,4,4,8,8,0.172909084714798,0.527166091004744,0.661738787282284,1.53740157702523,2,2.20905692653531,3.95629520146761,4.93543233197003
8,10,8,6,8,0,0,1,2,6,9,2,2,4,4,0.172909084714798,0.527166091004744,0.661738787282284,1.53740157702523,2,2.20905692653531,3.95629520146761,4.93543233197003
8,10,7,8,8.00000000000001,0,0,1,3,1,7,0,0,2,2,0.0556660298444427,0.828405426951975,1,1.20628578016033,2,2.8494804494131,4.77264316581416,5.28751914781599
8,10,8,9,8,0,0,1,3,1,9,-3,-3,5,5,0.0514124272090945,0.479738851211507,1.07381357434656,1.64868763798374,2,3.50281654156795,4.83779910372491,5.40573186395624
